epoch:0, train_loss:0.0416233220086724, vali_loss:0.006557615078054369
epoch:1, train_loss:0.006589449573039019, vali_loss:0.006026359854149632
epoch:2, train_loss:0.006350253120581328, vali_loss:0.005818302716943435
epoch:3, train_loss:0.006146321069900295, vali_loss:0.005560256863827817
epoch:4, train_loss:0.005871016778837656, vali_loss:0.005035865693935193
epoch:5, train_loss:0.005465216414449969, vali_loss:0.004683705404750072
epoch:6, train_loss:0.005065127091984323, vali_loss:0.004007433378137648
epoch:7, train_loss:0.004420217898132251, vali_loss:0.003918761701788754
epoch:8, train_loss:0.004018190154602053, vali_loss:0.004066537879407406
epoch:9, train_loss:0.003839282007402289, vali_loss:0.0031583442556438967
epoch:10, train_loss:0.003840987144212704, vali_loss:0.003295198010164313
epoch:11, train_loss:0.003707097816550231, vali_loss:0.0035098653301247396
epoch:12, train_loss:0.0035666114513333014, vali_loss:0.002815828917664476
epoch:13, train_loss:0.0035937350924541535, vali_loss:0.0030055701157834847
epoch:14, train_loss:0.003455009834419798, vali_loss:0.0029347141593461857
epoch:15, train_loss:0.00351913821218659, vali_loss:0.0028693887659756003
epoch:16, train_loss:0.0034955916408762277, vali_loss:0.002929438485443825
epoch:17, train_loss:0.0034476421096542253, vali_loss:0.0030861219449434428
epoch:18, train_loss:0.0035792561523294354, vali_loss:0.002832155622672872
epoch:19, train_loss:0.00347310301874586, vali_loss:0.002950206433888525
epoch:20, train_loss:0.0033715332487645354, vali_loss:0.002885708355461247
epoch:21, train_loss:0.0035394374916336347, vali_loss:0.0028932407964020967
epoch:22, train_loss:0.0034294322485493465, vali_loss:0.002808977285894798
epoch:23, train_loss:0.003442417894746086, vali_loss:0.00358208776669926
epoch:24, train_loss:0.0035664758642042216, vali_loss:0.0026386239831481363
epoch:25, train_loss:0.0033025315039253655, vali_loss:0.0032161264462047257
epoch:26, train_loss:0.003378276900457422, vali_loss:0.002804519096389413
epoch:27, train_loss:0.003463132050319473, vali_loss:0.002977057223324664
epoch:28, train_loss:0.003359290357138889, vali_loss:0.00243670271593146
epoch:29, train_loss:0.003448058461799519, vali_loss:0.00305806011747336
epoch:30, train_loss:0.0034254926987614454, vali_loss:0.0028756148043612485
epoch:31, train_loss:0.003263639368844906, vali_loss:0.003047258756123483
