epoch:0, train_loss:0.047249527400206964, vali_loss:0.01046029811758282
epoch:1, train_loss:0.010225420402752332, vali_loss:0.009471585903416522
epoch:2, train_loss:0.009956877819133987, vali_loss:0.009734813523079668
epoch:3, train_loss:0.009704864016384818, vali_loss:0.008539626451758002
epoch:4, train_loss:0.009131423955891635, vali_loss:0.008466592890077404
epoch:5, train_loss:0.00787945790969012, vali_loss:0.007005466002738103
epoch:6, train_loss:0.006685773337486698, vali_loss:0.005479521758388728
epoch:7, train_loss:0.005625616067093155, vali_loss:0.004926716759135681
epoch:8, train_loss:0.005262224179173715, vali_loss:0.004083811336645989
epoch:9, train_loss:0.004344557142193763, vali_loss:0.003921422099145795
epoch:10, train_loss:0.0043133698708798275, vali_loss:0.004734573237198804
epoch:11, train_loss:0.004431018117335545, vali_loss:0.004063266318033649
epoch:12, train_loss:0.004290101302668235, vali_loss:0.004217499438839566
epoch:13, train_loss:0.004155295883939634, vali_loss:0.0039154564936844894
epoch:14, train_loss:0.003800631804551813, vali_loss:0.0036122939823794047
epoch:15, train_loss:0.0039908304743535, vali_loss:0.003648446208639403
epoch:16, train_loss:0.003828228488883128, vali_loss:0.005384284437501005
epoch:17, train_loss:0.0039107506662072284, vali_loss:0.0038176954351781334
epoch:18, train_loss:0.003888842638616552, vali_loss:0.003374870785981849
epoch:19, train_loss:0.004096242775631254, vali_loss:0.003469660025854994
epoch:20, train_loss:0.0038267100187332633, vali_loss:0.003444629285825483
epoch:21, train_loss:0.003766214947282951, vali_loss:0.003133447948909764
epoch:22, train_loss:0.003899060118908829, vali_loss:0.0038636012510063927
epoch:23, train_loss:0.0036726743524170538, vali_loss:0.004287558300088027
epoch:24, train_loss:0.003647543871826703, vali_loss:0.0039085870230337605
epoch:25, train_loss:0.0037364207003927983, vali_loss:0.0033954908846810994
epoch:26, train_loss:0.0036660372332272375, vali_loss:0.0023800099806976505
epoch:27, train_loss:0.003645836327325077, vali_loss:0.0033614137498391627
epoch:28, train_loss:0.0036961955140433363, vali_loss:0.003365945033562769
epoch:29, train_loss:0.003750133800669322, vali_loss:0.003312628862788967
epoch:30, train_loss:0.0036627233642728494, vali_loss:0.00345643998558184
epoch:31, train_loss:0.003556911428106481, vali_loss:0.0033165527565870434
