epoch:0, train_loss:0.0019696099769014224, eval_loss:0.0016436104419245636
epoch:1, train_loss:0.001701437845744064, eval_loss:0.0016449425358776748
epoch:2, train_loss:0.0016774526498961348, eval_loss:0.0017251200176930195
epoch:3, train_loss:0.001674162030575689, eval_loss:0.0016585052883936358
epoch:4, train_loss:0.00167000106245794, eval_loss:0.0016804980711465104
epoch:5, train_loss:0.0016701313692909507, eval_loss:0.0016526066804125811
epoch:6, train_loss:0.001666470489642583, eval_loss:0.0016429426903608508
epoch:7, train_loss:0.001667394011682437, eval_loss:0.0016626049536125306
epoch:8, train_loss:0.0016672432967250659, eval_loss:0.0016557691971271864
epoch:9, train_loss:0.0016646044323519093, eval_loss:0.0016459016897965983
epoch:10, train_loss:0.0016664651065721795, eval_loss:0.0016652218862864242
epoch:11, train_loss:0.0016650825578763619, eval_loss:0.0016514485777578932
epoch:12, train_loss:0.0016619027512550556, eval_loss:0.001665868222985684
epoch:13, train_loss:0.0016633061532859525, eval_loss:0.0016466801395909197
epoch:14, train_loss:0.0016632634567547648, eval_loss:0.0016643280340991244
