epoch:0, train_loss:0.054263860571972446, vali_loss:0.006350641274669518
epoch:1, train_loss:0.007810597211781158, vali_loss:0.0060564654704649
epoch:2, train_loss:0.0074149565034836605, vali_loss:0.007258070721743732
epoch:3, train_loss:0.006962839896371119, vali_loss:0.006439337136624899
epoch:4, train_loss:0.006385513781546458, vali_loss:0.005410424902543632
epoch:5, train_loss:0.005543221930712274, vali_loss:0.004431767069036141
epoch:6, train_loss:0.004635053090462086, vali_loss:0.0037936002320040846
epoch:7, train_loss:0.004278812892641247, vali_loss:0.003604295298120835
epoch:8, train_loss:0.0041234741899502875, vali_loss:0.003751269680732447
epoch:9, train_loss:0.003982256461386475, vali_loss:0.003734264150908631
epoch:10, train_loss:0.003985551396176225, vali_loss:0.0034954342958776075
epoch:11, train_loss:0.003941372966352028, vali_loss:0.003122690001974762
epoch:12, train_loss:0.003876669149582732, vali_loss:0.0035107142486797078
epoch:13, train_loss:0.003860652201610536, vali_loss:0.0035979221995350802
epoch:14, train_loss:0.003911255532690096, vali_loss:0.0036808877274678606
epoch:15, train_loss:0.003895527890685324, vali_loss:0.0040368578516386654
epoch:16, train_loss:0.003869363065280064, vali_loss:0.003352639210384546
epoch:17, train_loss:0.004010280429482973, vali_loss:0.003823658073088154
epoch:18, train_loss:0.0037974525908037126, vali_loss:0.006250301825477638
epoch:19, train_loss:0.003954476340136322, vali_loss:0.0035414876983850263
epoch:20, train_loss:0.0038373752848677657, vali_loss:0.003764286612244582
epoch:21, train_loss:0.003886267816859427, vali_loss:0.0026924569796796683
epoch:22, train_loss:0.0037672404128080116, vali_loss:0.003291496779840802
epoch:23, train_loss:0.0038566117734488508, vali_loss:0.0036657211854213122
epoch:24, train_loss:0.003939912782801997, vali_loss:0.0039422563600560855
epoch:25, train_loss:0.0038276537820423765, vali_loss:0.003609790555654197
epoch:26, train_loss:0.0038232375443339756, vali_loss:0.0030641068765867707
epoch:27, train_loss:0.003796665611801491, vali_loss:0.003047806289234561
epoch:28, train_loss:0.0038024860734257523, vali_loss:0.0032208648812633734
epoch:29, train_loss:0.0038405646831375364, vali_loss:0.0031286318254488935
epoch:30, train_loss:0.0037511292406109367, vali_loss:0.0037682061180627593
epoch:31, train_loss:0.0038065391092837767, vali_loss:0.0035209476183000435
