epoch:0, train_loss:0.004621676148624469, vali_loss:0.0018734819288591018
epoch:1, train_loss:0.0015675995892030135, vali_loss:0.0016975161384524965
epoch:2, train_loss:0.0015932738606838697, vali_loss:0.001776964144692801
epoch:3, train_loss:0.0015909598941309955, vali_loss:0.0015946287420085135
epoch:4, train_loss:0.001528403524226488, vali_loss:0.001646332439752139
epoch:5, train_loss:0.0015267774818435358, vali_loss:0.0015647586756131204
epoch:6, train_loss:0.0015318679431703364, vali_loss:0.0016756574810332806
epoch:7, train_loss:0.0015276546329118278, vali_loss:0.001579536232744071
epoch:8, train_loss:0.0015222200548828493, vali_loss:0.0016650033325711795
epoch:9, train_loss:0.0015307561173431568, vali_loss:0.0016281098640839836
epoch:10, train_loss:0.0015168817561134747, vali_loss:0.0017432070154105171
epoch:11, train_loss:0.0015192695540275434, vali_loss:0.001587657173911214
epoch:12, train_loss:0.0014880526938779882, vali_loss:0.001627469916591828
epoch:13, train_loss:0.0015096514640237555, vali_loss:0.002236646651938797
epoch:14, train_loss:0.0015106790189907317, vali_loss:0.0015555788304881899
epoch:15, train_loss:0.0014791900919222806, vali_loss:0.0015821334465107321
epoch:16, train_loss:0.0014876643262327664, vali_loss:0.0015766051913208056
epoch:17, train_loss:0.001472867563509862, vali_loss:0.0020297118809879237
epoch:18, train_loss:0.0015005928180771852, vali_loss:0.0016057151843087523
epoch:19, train_loss:0.0014673152898740062, vali_loss:0.0015707477174398694
epoch:20, train_loss:0.001496598846643714, vali_loss:0.0015732571262080935
epoch:21, train_loss:0.0014961564590543893, vali_loss:0.0015657426209764998
epoch:22, train_loss:0.0014875368144778387, vali_loss:0.0015565243811379531
epoch:23, train_loss:0.0014943655490735224, vali_loss:0.001572440577447296
epoch:24, train_loss:0.001480616125281497, vali_loss:0.0015489161014057163
epoch:25, train_loss:0.0014651009647843715, vali_loss:0.0015752336756617257
epoch:26, train_loss:0.0014712530696736508, vali_loss:0.0015405841861018536
epoch:27, train_loss:0.0014661980514052593, vali_loss:0.0015802599460325187
epoch:28, train_loss:0.0014658608250686116, vali_loss:0.001575039512440176
epoch:29, train_loss:0.0014834099442530787, vali_loss:0.001586258672272539
epoch:30, train_loss:0.0014721954638169958, vali_loss:0.0015640006240948503
epoch:31, train_loss:0.0014881448244800039, vali_loss:0.0015527661328203497
